id,ggxfGroupName,ggxfGridName,parentId,gridPriority,iCodeCount,jNodeCount,depth,xmin,xmax,ymin,ymax,latitudeOffset-min,latitudeOffset-max,longitudeOffset-min,longitudeOffset-max,latitudeOffsetUncertainty-min,latitudeOffsetUncertainty-max,longitudeOffsetUncertainty-min,longitudeOffsetUncertainty-max,extent_wkt
0:1:24,national_transformation_v2_0,ALhilevl,0:1,,31,21,2,58.41666667,58.58333333,-117.25000000,-117.00000000,0.3040,0.3357,-5.0287,-4.9347,0.0010,0.1490,0.0020,0.3590,"POLYGON((-117.25000000 58.41666667,-117.25000000 58.58333333,-117.00000000 58.58333333,-117.00000000 58.41666667, -117.25000000 58.41666667))"
0:1:25,national_transformation_v2_0,ALhinton,0:1,,31,21,2,53.33333333,53.50000000,-117.66666667,-117.41666667,0.1440,0.1735,-4.2971,-4.2400,0.0020,0.1530,0.0020,0.0970,"POLYGON((-117.66666667 53.33333333,-117.66666667 53.50000000,-117.41666667 53.50000000,-117.41666667 53.33333333, -117.66666667 53.33333333))"
0:1:26,national_transformation_v2_0,ALhiprai,0:1,,41,21,2,55.33333333,55.50000000,-116.66666667,-116.33333333,0.1465,0.1867,-4.5404,-4.4638,0.0050,0.2360,0.0070,0.1350,"POLYGON((-116.66666667 55.33333333,-116.66666667 55.50000000,-116.33333333 55.50000000,-116.33333333 55.33333333, -116.66666667 55.33333333))"
0:1:27,national_transformation_v2_0,ALinnsfl,0:1,,21,31,2,51.91666667,52.16666667,-114.00000000,-113.83333333,0.1981,0.2097,-3.6187,-3.5644,0.0020,0.1020,0.0010,0.1610,"POLYGON((-114.00000000 51.91666667,-114.00000000 52.16666667,-113.83333333 52.16666667,-113.83333333 51.91666667, -114.00000000 51.91666667))"
0:1:28,national_transformation_v2_0,ALjasper,0:1,,21,11,2,52.83333333,52.91666667,-118.16666667,-118.00000000,0.0081,0.0560,-4.2841,-4.2370,0.1550,0.6860,0.0780,0.2450,"POLYGON((-118.16666667 52.83333333,-118.16666667 52.91666667,-118.00000000 52.91666667,-118.00000000 52.83333333, -118.16666667 52.83333333))"
0:1:29,national_transformation_v2_0,ALlacbic,0:1,,31,21,2,54.66666667,54.83333333,-112.08333333,-111.83333333,0.3496,0.3619,-3.4519,-3.4084,0.0020,0.0210,0.0010,0.0270,"POLYGON((-112.08333333 54.66666667,-112.08333333 54.83333333,-111.83333333 54.83333333,-111.83333333 54.66666667, -112.08333333 54.66666667))"
0:1:30,national_transformation_v2_0,ALlacomb,0:1,,31,11,2,52.50000000,52.58333333,-113.83333333,-113.58333333,0.2042,0.2138,-3.6293,-3.5857,0.0020,0.0600,0.0010,0.0450,"POLYGON((-113.83333333 52.50000000,-113.83333333 52.58333333,-113.58333333 52.58333333,-113.58333333 52.50000000, -113.83333333 52.50000000))"
0:1:31,national_transformation_v2_0,ALletbrg,0:1,,61,41,2,49.58333333,49.91666667,-113.00000000,-112.50000000,-0.0255,0.0677,-3.3749,-3.2787,0.0010,0.6140,0.0010,0.3810,"POLYGON((-113.00000000 49.58333333,-113.00000000 49.91666667,-112.50000000 49.91666667,-112.50000000 49.58333333, -113.00000000 49.58333333))"
0:1:32,national_transformation_v2_0,ALlkloui,0:1,,21,21,2,51.33333333,51.50000000,-116.25000000,-116.08333333,-0.0284,-0.0062,-3.9557,-3.8947,0.1150,0.4900,0.1810,0.3770,"POLYGON((-116.25000000 51.33333333,-116.25000000 51.50000000,-116.08333333 51.50000000,-116.08333333 51.33333333, -116.25000000 51.33333333))"
0:1:33,national_transformation_v2_0,ALlydmin,0:1,,31,21,2,53.16666667,53.33333333,-110.16666667,-109.91666667,0.2614,0.2941,-2.8554,-2.8091,0.0010,0.6530,0.0000,0.0390,"POLYGON((-110.16666667 53.16666667,-110.16666667 53.33333333,-109.91666667 53.33333333,-109.91666667 53.16666667, -110.16666667 53.16666667))"
0:1:34,national_transformation_v2_0,ALmedhat,0:1,,41,31,2,49.91666667,50.16666667,-110.83333333,-110.50000000,0.1020,0.1597,-2.9912,-2.9264,0.0010,0.3110,0.0010,0.0600,"POLYGON((-110.83333333 49.91666667,-110.83333333 50.16666667,-110.50000000 50.16666667,-110.50000000 49.91666667, -110.83333333 49.91666667))"
0:1:35,national_transformation_v2_0,ALolds,0:1,,31,21,2,51.75000000,51.91666667,-114.25000000,-114.00000000,0.1901,0.2060,-3.6166,-3.5706,0.0030,0.0570,0.0030,0.0560,"POLYGON((-114.25000000 51.75000000,-114.25000000 51.91666667,-114.00000000 51.91666667,-114.00000000 51.75000000, -114.25000000 51.75000000))"
0:1:36,national_transformation_v2_0,ALoyen,0:1,,31,21,2,51.25000000,51.41666667,-110.58333333,-110.33333333,0.2046,0.2260,-2.9524,-2.8989,0.0010,0.1310,0.0000,0.2060,"POLYGON((-110.58333333 51.25000000,-110.58333333 51.41666667,-110.33333333 51.41666667,-110.33333333 51.25000000, -110.58333333 51.25000000))"
0:1:37,national_transformation_v2_0,ALpeacer,0:1,,31,31,2,56.08333333,56.33333333,-117.41666667,-117.16666667,0.1573,0.1857,-4.8627,-4.7610,0.0000,0.1230,0.0010,0.1510,"POLYGON((-117.41666667 56.08333333,-117.41666667 56.33333333,-117.16666667 56.33333333,-117.16666667 56.08333333, -117.41666667 56.08333333))"
0:1:38,national_transformation_v2_0,ALpinchr,0:1,,11,21,2,49.41666667,49.58333333,-114.00000000,-113.91666667,-0.0408,-0.0200,-3.5159,-3.3810,0.0100,0.2320,0.0080,1.2220,"POLYGON((-114.00000000 49.41666667,-114.00000000 49.58333333,-113.91666667 49.58333333,-113.91666667 49.41666667, -114.00000000 49.41666667))"
0:1:39,national_transformation_v2_0,ALponoka,0:1,,21,21,2,52.58333333,52.75000000,-113.66666667,-113.50000000,0.2061,0.2142,-3.6202,-3.5753,0.0010,0.0460,0.0010,0.1170,"POLYGON((-113.66666667 52.58333333,-113.66666667 52.75000000,-113.50000000 52.75000000,-113.50000000 52.58333333, -113.66666667 52.58333333))"
0:1:40,national_transformation_v2_0,ALraymnd,0:1,,51,21,2,49.33333333,49.50000000,-113.00000000,-112.58333333,-0.0424,-0.0209,-3.3760,-3.3076,0.0010,0.3580,0.0020,0.2400,"POLYGON((-113.00000000 49.33333333,-113.00000000 49.50000000,-112.58333333 49.50000000,-112.58333333 49.33333333, -113.00000000 49.33333333))"
0:1:41,national_transformation_v2_0,ALredeer,0:1,,41,31,2,52.16666667,52.41666667,-113.91666667,-113.58333333,0.2051,0.2165,-3.6308,-3.5573,0.0010,0.1150,0.0010,0.2750,"POLYGON((-113.91666667 52.16666667,-113.91666667 52.41666667,-113.58333333 52.41666667,-113.58333333 52.16666667, -113.91666667 52.16666667))"
0:1:42,national_transformation_v2_0,ALrockmt,0:1,,31,31,2,52.25000000,52.50000000,-115.00000000,-114.75000000,0.1962,0.2367,-3.7996,-3.7033,0.0030,0.3260,0.0130,0.3890,"POLYGON((-115.00000000 52.25000000,-115.00000000 52.50000000,-114.75000000 52.50000000,-114.75000000 52.25000000, -115.00000000 52.25000000))"
0:1:43,national_transformation_v2_0,ALslavlk,0:1,,31,21,2,55.16666667,55.33333333,-114.91666667,-114.66666667,0.2327,0.2549,-4.1061,-4.0393,0.0050,0.0690,0.0030,0.0720,"POLYGON((-114.91666667 55.16666667,-114.91666667 55.33333333,-114.66666667 55.33333333,-114.66666667 55.16666667, -114.91666667 55.16666667))"
0:1:44,national_transformation_v2_0,ALstetlr,0:1,,31,21,2,52.25000000,52.41666667,-112.83333333,-112.58333333,0.2232,0.2385,-3.4718,-3.4106,0.0030,0.0420,0.0030,0.1030,"POLYGON((-112.83333333 52.25000000,-112.83333333 52.41666667,-112.58333333 52.41666667,-112.58333333 52.25000000, -112.83333333 52.25000000))"
0:1:45,national_transformation_v2_0,ALstpaul,0:1,,31,21,2,53.91666667,54.08333333,-111.41666667,-111.16666667,0.2987,0.3178,-3.2365,-3.1681,0.0010,0.0590,0.0010,0.2120,"POLYGON((-111.41666667 53.91666667,-111.41666667 54.08333333,-111.16666667 54.08333333,-111.16666667 53.91666667, -111.41666667 53.91666667))"
