id,ggxfGroupName,ggxfGridName,parentId,gridPriority,iCodeCount,jNodeCount,depth,extent_wkt,latitudeOffset-min,latitudeOffset-max,longitudeOffset-min,longitudeOffset-max,latitudeOffsetUncertainty-min,latitudeOffsetUncertainty-max,longitudeOffsetUncertainty-min,longitudeOffsetUncertainty-max
0:1:47,national_transformation_v2_0,ALswanhi,0:1,,41,21,2,"POLYGON((-115.58333333333334 54.666666666666664,-115.58333333333334 54.83333333333333,-115.25000000000001 54.83333333333333,-115.25000000000001 54.666666666666664, -115.58333333333334 54.666666666666664))",0.191300,0.213060,4.036570,4.097760,0.000000,0.032000,0.000000,0.108000
0:1:48,national_transformation_v2_0,ALtaber,0:1,,31,21,2,"POLYGON((-112.25 49.75,-112.25 49.916666666666664,-112.0 49.916666666666664,-112.0 49.75, -112.25 49.75))",0.037730,0.105260,3.209350,3.284350,0.002000,0.282000,0.012000,0.295000
0:1:49,national_transformation_v2_0,ALtrehil,0:1,,21,21,2,"POLYGON((-113.33333333333334 51.583333333333336,-113.33333333333334 51.75,-113.16666666666667 51.75,-113.16666666666667 51.583333333333336, -113.33333333333334 51.583333333333336))",0.202890,0.213900,3.446540,3.473590,0.004000,0.068000,0.002000,0.036000
0:1:50,national_transformation_v2_0,ALvegvil,0:1,,31,21,2,"POLYGON((-112.16666666666667 53.416666666666664,-112.16666666666667 53.58333333333333,-111.91666666666667 53.58333333333333,-111.91666666666667 53.416666666666664, -112.16666666666667 53.416666666666664))",0.259830,0.276090,3.247440,3.298250,0.001000,0.127000,0.001000,0.181000
0:1:51,national_transformation_v2_0,ALvermil,0:1,,31,21,2,"POLYGON((-111.0 53.25,-111.0 53.416666666666664,-110.75 53.416666666666664,-110.75 53.25, -111.0 53.25))",0.267700,0.284940,2.959290,3.008050,0.001000,0.021000,0.001000,0.054000
0:1:52,national_transformation_v2_0,ALwanwgt,0:1,,31,21,2,"POLYGON((-111.0 52.75,-111.0 52.916666666666664,-110.75 52.916666666666664,-110.75 52.75, -111.0 52.75))",0.245960,0.263600,2.924100,2.973630,0.001000,0.085000,0.001000,0.082000
0:1:53,national_transformation_v2_0,ALweslok,0:1,,41,21,2,"POLYGON((-114.0 54.083333333333336,-114.0 54.25,-113.66666666666667 54.25,-113.66666666666667 54.083333333333336, -114.0 54.083333333333336))",0.269080,0.282740,3.683500,3.732390,0.001000,0.171000,0.001000,0.296000
0:1:54,national_transformation_v2_0,ALwetask,0:1,,31,21,2,"POLYGON((-113.5 52.833333333333336,-113.5 53.0,-113.25 53.0,-113.25 52.833333333333336, -113.5 52.833333333333336))",0.218720,0.230690,3.567400,3.610880,0.000000,0.072000,0.000000,0.090000
0:1:55,national_transformation_v2_0,ALwhitec,0:1,,41,11,2,"POLYGON((-115.83333333333334 54.08333333333333,-115.83333333333334 54.166666666666664,-115.50000000000001 54.166666666666664,-115.50000000000001 54.08333333333333, -115.83333333333334 54.08333333333333))",0.218650,0.268500,3.920920,4.028140,0.010000,0.574000,0.003000,0.661000
0:1:56,national_transformation_v2_0,BCcambel,0:1,,21,21,2,"POLYGON((-125.33333333333334 49.916666666666664,-125.33333333333334 50.08333333333333,-125.16666666666667 50.08333333333333,-125.16666666666667 49.916666666666664, -125.33333333333334 49.916666666666664))",-0.654000,-0.641210,5.076800,5.218760,0.001000,0.185000,0.002000,1.607000
0:1:57,national_transformation_v2_0,BCcranbk,0:1,,21,21,2,"POLYGON((-115.83333333333334 49.416666666666664,-115.83333333333334 49.58333333333333,-115.66666666666667 49.58333333333333,-115.66666666666667 49.416666666666664, -115.83333333333334 49.416666666666664))",-0.158930,-0.109890,3.734430,3.798450,0.001000,0.419000,0.001000,0.225000
0:1:58,national_transformation_v2_0,BCdawson,0:1,,21,21,2,"POLYGON((-120.33333333333334 55.666666666666664,-120.33333333333334 55.83333333333333,-120.16666666666667 55.83333333333333,-120.16666666666667 55.666666666666664, -120.33333333333334 55.666666666666664))",-0.182510,-0.169360,5.128980,5.165820,0.003000,0.017000,0.003000,0.019000
0:1:59,national_transformation_v2_0,BCelkfrd,0:1,,21,11,2,"POLYGON((-115.0 49.99999999999999,-115.0 50.08333333333333,-114.83333333333333 50.08333333333333,-114.83333333333333 49.99999999999999, -115.0 49.99999999999999))",0.056610,0.147570,3.669470,3.799640,0.002000,2.024000,0.002000,0.844000
0:1:60,national_transformation_v2_0,BCfield,0:1,,21,11,2,"POLYGON((-116.58333333333334 51.33333333333333,-116.58333333333334 51.416666666666664,-116.41666666666667 51.416666666666664,-116.41666666666667 51.33333333333333, -116.58333333333334 51.33333333333333))",-0.071940,-0.046100,3.956100,3.989780,0.037000,0.378000,0.034000,0.735000
0:1:61,national_transformation_v2_0,BCgranil,0:1,,11,11,2,"POLYGON((-126.25 54.83333333333333,-126.25 54.916666666666664,-126.16666666666667 54.916666666666664,-126.16666666666667 54.83333333333333, -126.25 54.83333333333333))",-0.359420,-0.350510,6.125340,6.149880,0.001000,0.022000,0.001000,0.026000
0:1:62,national_transformation_v2_0,BCkamlop,0:1,,51,21,2,"POLYGON((-120.5 50.583333333333336,-120.5 50.75,-120.08333333333333 50.75,-120.08333333333333 50.583333333333336, -120.5 50.583333333333336))",-0.416140,-0.386090,4.459890,4.530180,0.000000,0.096000,0.000000,0.095000
0:1:63,national_transformation_v2_0,BCkelwna,0:1,,31,31,2,"POLYGON((-119.58333333333334 49.83333333333333,-119.58333333333334 50.08333333333333,-119.33333333333334 50.08333333333333,-119.33333333333334 49.83333333333333, -119.58333333333334 49.83333333333333))",-0.410770,-0.392910,4.254130,4.339850,0.001000,0.235000,0.001000,0.438000
0:1:64,national_transformation_v2_0,BClogan,0:1,,11,11,2,"POLYGON((-120.83333333333334 50.416666666666664,-120.83333333333334 50.5,-120.75000000000001 50.5,-120.75000000000001 50.416666666666664, -120.83333333333334 50.416666666666664))",-0.438150,-0.428280,4.527590,4.553060,0.018000,0.300000,0.054000,0.248000
0:1:65,national_transformation_v2_0,BCmacknz,0:1,,21,21,2,"POLYGON((-123.16666666666667 55.25,-123.16666666666667 55.416666666666664,-123.0 55.416666666666664,-123.0 55.25, -123.16666666666667 55.25))",-0.270450,-0.249920,5.530400,5.597330,0.001000,0.194000,0.001000,0.532000
0:1:66,national_transformation_v2_0,BCnanimo,0:1,,61,61,2,"POLYGON((-124.08333333333334 48.75,-124.08333333333334 49.25,-123.58333333333334 49.25,-123.58333333333334 48.75, -124.08333333333334 48.75))",-0.714680,-0.623810,4.764630,4.925870,0.000000,0.938000,0.001000,1.277000
0:1:67,national_transformation_v2_0,BCnelson,0:1,,11,21,2,"POLYGON((-117.33333333333334 49.416666666666664,-117.33333333333334 49.58333333333333,-117.25000000000001 49.58333333333333,-117.25000000000001 49.416666666666664, -117.33333333333334 49.416666666666664))",-0.273330,-0.264320,3.990150,4.023800,0.002000,0.019000,0.002000,0.012000
0:1:68,national_transformation_v2_0,BCparkvl,0:1,,21,11,2,"POLYGON((-124.41666666666667 49.24999999999999,-124.41666666666667 49.33333333333333,-124.25 49.33333333333333,-124.25 49.24999999999999, -124.41666666666667 49.24999999999999))",-0.782800,-0.652550,4.933330,5.206880,0.002000,2.685000,0.001000,2.912000
0:1:69,national_transformation_v2_0,BCpentic,0:1,,21,21,2,"POLYGON((-119.66666666666667 49.416666666666664,-119.66666666666667 49.58333333333333,-119.5 49.58333333333333,-119.5 49.416666666666664, -119.66666666666667 49.416666666666664))",-0.460220,-0.412230,4.295270,4.361730,0.001000,0.651000,0.001000,0.480000
0:1:70,national_transformation_v2_0,BCportal,0:1,,11,21,2,"POLYGON((-124.83333333333334 49.166666666666664,-124.83333333333334 49.33333333333333,-124.75000000000001 49.33333333333333,-124.75000000000001 49.166666666666664, -124.83333333333334 49.166666666666664))",-0.686590,-0.671900,5.018370,5.062720,0.001000,0.469000,0.001000,0.450000
0:1:71,national_transformation_v2_0,BCpowell,0:1,,21,21,2,"POLYGON((-124.58333333333334 49.75,-124.58333333333334 49.916666666666664,-124.41666666666667 49.916666666666664,-124.41666666666667 49.75, -124.58333333333334 49.75))",-0.696500,-0.572220,5.046270,5.095460,0.002000,1.264000,0.001000,0.213000
0:1:72,national_transformation_v2_0,BCprigeo,0:1,,41,41,2,"POLYGON((-122.91666666666667 53.74999999999999,-122.91666666666667 54.08333333333333,-122.58333333333334 54.08333333333333,-122.58333333333334 53.74999999999999, -122.91666666666667 53.74999999999999))",-0.204390,-0.152400,5.219960,5.472130,0.001000,0.817000,0.001000,2.748000
