nodeLatitude,nodeLongitude,geoidHeight
15,-66.7333333,-34.3397
15,-66.7166667,-34.3482
15,-66.7,-34.3577
15,-66.6833333,-34.3674
15,-66.6666667,-34.377
15,-66.65,-34.3863
15,-66.6333333,-34.3948
15,-66.6166667,-34.4046
15,-66.6,-34.4151
15,-66.5833333,-34.427
15,-66.5666667,-34.4408
15,-66.55,-34.4569
15,-66.5333333,-34.475
15,-66.5166667,-34.4948
15,-66.5,-34.5154
15,-66.4833333,-34.5364
15,-66.4666667,-34.5577
15,-66.45,-34.5793
15,-66.4333333,-34.6014
15,-66.4166667,-34.6243
15,-66.4,-34.6476
15,-66.3833333,-34.6706
15,-66.3666667,-34.693
15,-66.35,-34.7147
15,-66.3333333,-34.7351
15,-66.3166667,-34.7548
15,-66.3,-34.7741
15,-66.2833333,-34.7938
15,-66.2666667,-34.8144
15,-66.25,-34.8356
15,-66.2333333,-34.8595
15,-66.2166667,-34.8853
15,-66.2,-34.9127
15,-66.1833333,-34.941
15,-66.1666667,-34.9695
15,-66.15,-34.9975
15,-66.1333333,-35.0245
15,-66.1166667,-35.0503
15,-66.1,-35.0757
15,-66.0833333,-35.1016
15,-66.0666667,-35.1288
15,-66.05,-35.1579
15,-66.0333333,-35.1889
15,-66.0166667,-35.2216
15,-66,-35.2552
15,-65.9833333,-35.2891
15,-65.9666667,-35.3234
15,-65.95,-35.3577
15,-65.9333333,-35.3922
15,-65.9166667,-35.4272
15,-65.9,-35.4633
15,-65.8833333,-35.5009
15,-65.8666667,-35.5404
15,-65.85,-35.582
15,-65.8333333,-35.625
15,-65.8166667,-35.6715
15,-65.8,-35.7206
15,-65.7833333,-35.7719
15,-65.7666667,-35.8248
15,-65.75,-35.8787
15,-65.7333333,-35.9332
15,-65.7166667,-35.9881
15,-65.7,-36.0433
15,-65.6833333,-36.0986
15,-65.6666667,-36.1535
15,-65.65,-36.2073
15,-65.6333333,-36.2591
15,-65.6166667,-36.3084
15,-65.6,-36.3549
15,-65.5833333,-36.3984
15,-65.5666667,-36.4392
15,-65.55,-36.4781
15,-65.5333333,-36.5161
15,-65.5166667,-36.5538
15,-65.5,-36.5918
15,-65.4833333,-36.6298
15,-65.4666667,-36.6673
15,-65.45,-36.7037
15,-65.4333333,-36.7384
15,-65.4166667,-36.7712
15,-65.4,-36.8021
15,-65.3833333,-36.8316
15,-65.3666667,-36.8593
15,-65.35,-36.8876
15,-65.3333333,-36.9158
15,-65.3166667,-36.9439
15,-65.3,-36.9715
15,-65.2833333,-36.9981
15,-65.2666667,-37.0234
15,-65.25,-37.0474
15,-65.2333333,-37.0699
15,-65.2166667,-37.0911
15,-65.2,-37.1102
15,-65.1833333,-37.1274
15,-65.1666667,-37.1425
15,-65.15,-37.1555
15,-65.1333333,-37.1662
15,-65.1166667,-37.1749
15,-65.1,-37.1822
15,-65.0833333,-37.1886
15,-65.0666667,-37.1946
15,-65.05,-37.2007
15,-65.0333333,-37.2073
15,-65.0166667,-37.2144
15,-65,-37.2218
15,-64.9833333,-37.229
15,-64.9666667,-37.2357
15,-64.95,-37.2414
15,-64.9333333,-37.2462
15,-64.9166667,-37.25
15,-64.9,-37.2533
15,-64.8833333,-37.2556
15,-64.8666667,-37.258
15,-64.85,-37.2611
15,-64.8333333,-37.2651
15,-64.8166667,-37.2694
15,-64.8,-37.2757
15,-64.7833333,-37.282
15,-64.7666667,-37.2877
15,-64.75,-37.2922
15,-64.7333333,-37.2948
15,-64.7166667,-37.2955
15,-64.7,-37.2939
15,-64.6833333,-37.2899
15,-64.6666667,-37.2839
15,-64.65,-37.2763
15,-64.6333333,-37.2679
15,-64.6166667,-37.2595
15,-64.6,-37.2519
15,-64.5833333,-37.2454
15,-64.5666667,-37.2398
15,-64.55,-37.2353
15,-64.5333333,-37.2319
15,-64.5166667,-37.23
