lat,lon,de,dn,du
59.5,-140.25,0.02669,-0.03291,0.0
59.75,-140.25,0.02669,-0.03224,0.0
60.0,-140.25,0.02735,-0.03103,0.0
60.25,-140.25,0.02721,-0.02842,0.0
60.5,-140.25,-0.0068,-0.01214,0.0
60.75,-140.25,-0.00811,-0.01127,0.0
61.0,-140.25,-0.01001,-0.01039,0.0
61.25,-140.25,-0.01186,-0.0094,0.0
61.5,-140.25,-0.01353,-0.00907,0.0
61.75,-140.25,-0.01522,-0.00924,0.0
62.0,-140.25,-0.01667,-0.00941,0.0
62.25,-140.25,-0.01732,-0.00946,0.0
62.5,-140.25,-0.01776,-0.0095,0.0
62.75,-140.25,-0.01806,-0.00951,0.0
63.0,-140.25,-0.01829,-0.0095,0.0
63.25,-140.25,-0.01815,-0.00944,0.0
63.5,-140.25,-0.01797,-0.00935,0.0
63.75,-140.25,-0.01954,-0.01204,0.0
64.0,-140.25,-0.01935,-0.01203,0.0
54.0,-140.0,0.03282,-0.03034,0.0
54.25,-140.0,0.03294,-0.03002,0.0
54.5,-140.0,0.03303,-0.02971,0.0
54.75,-140.0,0.03314,-0.02938,0.0
55.0,-140.0,0.03325,-0.02906,0.0
55.25,-140.0,0.03333,-0.02876,0.0
55.5,-140.0,0.03343,-0.02846,0.0
55.75,-140.0,0.03354,-0.02815,0.0
56.0,-140.0,0.03373,-0.02781,0.0
56.25,-140.0,0.03358,-0.02766,0.0
56.5,-140.0,0.03352,-0.02749,0.0
56.75,-140.0,0.03347,-0.02734,0.0
57.0,-140.0,0.0336,-0.02718,0.0
57.25,-140.0,0.03294,-0.02724,0.0
57.5,-140.0,0.03246,-0.02734,0.0
57.75,-140.0,0.03196,-0.02752,0.0
58.0,-140.0,0.03148,-0.02802,0.0
58.25,-140.0,0.03044,-0.02867,0.0
58.5,-140.0,0.02854,-0.03326,0.0
58.75,-140.0,0.02741,-0.03382,0.0
59.0,-140.0,0.02618,-0.03432,0.0
59.25,-140.0,0.02636,-0.03352,0.0
59.5,-140.0,0.02617,-0.03293,0.0
59.75,-140.0,0.02617,-0.03221,0.0
60.0,-140.0,0.0257,-0.03055,0.0
60.25,-140.0,0.01191,-0.02144,0.0
60.5,-140.0,-0.00494,-0.01141,0.0
60.75,-140.0,-0.00825,-0.01068,0.0
61.0,-140.0,-0.01008,-0.00973,0.0
61.25,-140.0,-0.01178,-0.00919,0.0
61.5,-140.0,-0.01367,-0.00916,0.0
61.75,-140.0,-0.01547,-0.00947,0.0
62.0,-140.0,-0.01691,-0.00955,0.0
