nodeLatitude,nodeLongitude,velocityEast,velocityNorth,velocityUp
64.0,-161.25,-0.02178,-0.00384,0.0
64.25,-161.25,-0.02174,-0.00398,0.0
64.5,-161.25,-0.0217,-0.00411,0.0
64.75,-161.25,-0.02165,-0.00425,0.0
65.0,-161.25,-0.0216,-0.00439,0.0
65.25,-161.25,-0.02155,-0.00449,0.0
65.5,-161.25,-0.0215,-0.00459,0.0
65.75,-161.25,-0.02144,-0.00469,0.0
53.25,-161.0,-0.01961,-0.00459,0.0
53.5,-161.0,-0.01855,-0.00477,0.0
53.75,-161.0,-0.01751,-0.0052,0.0
54.0,-161.0,-0.01864,-0.01252,0.0
54.25,-161.0,-0.01813,-0.01303,0.0
54.5,-161.0,-0.01808,-0.01356,0.0
54.75,-161.0,-0.01827,-0.01394,0.0
55.0,-161.0,-0.01818,-0.01401,0.0
55.25,-161.0,-0.01817,-0.01362,0.0
55.5,-161.0,-0.01869,-0.0132,0.0
55.75,-161.0,-0.01869,-0.01274,0.0
56.0,-161.0,-0.01862,-0.01232,0.0
56.25,-161.0,-0.02168,-0.00764,0.0
56.5,-161.0,-0.02187,-0.00741,0.0
56.75,-161.0,-0.02205,-0.00721,0.0
57.0,-161.0,-0.0222,-0.007,0.0
57.25,-161.0,-0.02241,-0.00673,0.0
57.5,-161.0,-0.02261,-0.00644,0.0
57.75,-161.0,-0.02281,-0.00611,0.0
58.0,-161.0,-0.02301,-0.00577,0.0
58.25,-161.0,-0.02326,-0.00545,0.0
58.5,-161.0,-0.02351,-0.00512,0.0
58.75,-161.0,-0.02377,-0.00478,0.0
59.0,-161.0,-0.02403,-0.00445,0.0
59.25,-161.0,-0.0243,-0.00422,0.0
59.5,-161.0,-0.02458,-0.004,0.0
59.75,-161.0,-0.02485,-0.00379,0.0
60.0,-161.0,-0.02511,-0.00359,0.0
60.25,-161.0,-0.02534,-0.00352,0.0
60.5,-161.0,-0.02556,-0.00346,0.0
60.75,-161.0,-0.02577,-0.0034,0.0
61.0,-161.0,-0.02597,-0.00336,0.0
61.25,-161.0,-0.02612,-0.00341,0.0
61.5,-161.0,-0.02626,-0.00347,0.0
61.75,-161.0,-0.02639,-0.00353,0.0
62.0,-161.0,-0.02652,-0.0036,0.0
62.25,-161.0,-0.02169,-0.00272,0.0
62.5,-161.0,-0.02175,-0.00288,0.0
62.75,-161.0,-0.0218,-0.00305,0.0
63.0,-161.0,-0.02185,-0.00321,0.0
