group,grid,ngridi,ngridj,type,extent_wkt,latitudeOffset-min,latitudeOffset-max,longitudeOffset-min,longitudeOffset-max,latitudeOffsetUncertainty-min,latitudeOffsetUncertainty-max,longitudeOffsetUncertainty-min,longitudeOffsetUncertainty-max
National Transformation v2_0,ALletbrg,61,41,float32,"POLYGON((-113.0 49.58333333333333,-113.0 49.916666666666664,-112.5 49.916666666666664,-112.5 49.58333333333333, -113.0 49.58333333333333))",-0.0255,0.0677,3.2787,3.3749,0.0010,0.6140,0.0010,0.3810
National Transformation v2_0,ALlkloui,21,21,float32,"POLYGON((-116.25 51.333333333333336,-116.25 51.5,-116.08333333333333 51.5,-116.08333333333333 51.333333333333336, -116.25 51.333333333333336))",-0.0284,-0.0062,3.8947,3.9557,0.1150,0.4900,0.1810,0.3770
National Transformation v2_0,ALlydmin,31,21,float32,"POLYGON((-110.16666666666667 53.166666666666664,-110.16666666666667 53.33333333333333,-109.91666666666667 53.33333333333333,-109.91666666666667 53.166666666666664, -110.16666666666667 53.166666666666664))",0.2614,0.2941,2.8091,2.8554,0.0010,0.6530,0.0000,0.0390
National Transformation v2_0,ALmedhat,41,31,float32,"POLYGON((-110.83333333333334 49.916666666666664,-110.83333333333334 50.166666666666664,-110.50000000000001 50.166666666666664,-110.50000000000001 49.916666666666664, -110.83333333333334 49.916666666666664))",0.1020,0.1597,2.9264,2.9912,0.0010,0.3110,0.0010,0.0600
National Transformation v2_0,ALolds,31,21,float32,"POLYGON((-114.25 51.75,-114.25 51.916666666666664,-114.0 51.916666666666664,-114.0 51.75, -114.25 51.75))",0.1901,0.2060,3.5706,3.6166,0.0030,0.0570,0.0030,0.0560
National Transformation v2_0,ALoyen,31,21,float32,"POLYGON((-110.58333333333334 51.25,-110.58333333333334 51.416666666666664,-110.33333333333334 51.416666666666664,-110.33333333333334 51.25, -110.58333333333334 51.25))",0.2046,0.2260,2.8989,2.9524,0.0010,0.1310,0.0000,0.2060
National Transformation v2_0,ALpeacer,31,31,float32,"POLYGON((-117.41666666666667 56.08333333333333,-117.41666666666667 56.33333333333333,-117.16666666666667 56.33333333333333,-117.16666666666667 56.08333333333333, -117.41666666666667 56.08333333333333))",0.1573,0.1857,4.7610,4.8627,0.0000,0.1230,0.0010,0.1510
National Transformation v2_0,ALpinchr,11,21,float32,"POLYGON((-114.0 49.416666666666664,-114.0 49.58333333333333,-113.91666666666667 49.58333333333333,-113.91666666666667 49.416666666666664, -114.0 49.416666666666664))",-0.0408,-0.0200,3.3810,3.5159,0.0100,0.2320,0.0080,1.2220
National Transformation v2_0,ALponoka,21,21,float32,"POLYGON((-113.66666666666667 52.583333333333336,-113.66666666666667 52.75,-113.5 52.75,-113.5 52.583333333333336, -113.66666666666667 52.583333333333336))",0.2061,0.2142,3.5753,3.6202,0.0010,0.0460,0.0010,0.1170
National Transformation v2_0,ALraymnd,51,21,float32,"POLYGON((-113.0 49.333333333333336,-113.0 49.5,-112.58333333333333 49.5,-112.58333333333333 49.333333333333336, -113.0 49.333333333333336))",-0.0424,-0.0209,3.3076,3.3760,0.0010,0.3580,0.0020,0.2400
National Transformation v2_0,ALredeer,41,31,float32,"POLYGON((-113.91666666666667 52.166666666666664,-113.91666666666667 52.416666666666664,-113.58333333333334 52.416666666666664,-113.58333333333334 52.166666666666664, -113.91666666666667 52.166666666666664))",0.2051,0.2165,3.5573,3.6308,0.0010,0.1150,0.0010,0.2750
National Transformation v2_0,ALrockmt,31,31,float32,"POLYGON((-115.0 52.25,-115.0 52.5,-114.75 52.5,-114.75 52.25, -115.0 52.25))",0.1962,0.2367,3.7033,3.7996,0.0030,0.3260,0.0130,0.3890
National Transformation v2_0,ALslavlk,31,21,float32,"POLYGON((-114.91666666666667 55.166666666666664,-114.91666666666667 55.33333333333333,-114.66666666666667 55.33333333333333,-114.66666666666667 55.166666666666664, -114.91666666666667 55.166666666666664))",0.2327,0.2549,4.0393,4.1061,0.0050,0.0690,0.0030,0.0720
National Transformation v2_0,ALstetlr,31,21,float32,"POLYGON((-112.83333333333334 52.25,-112.83333333333334 52.416666666666664,-112.58333333333334 52.416666666666664,-112.58333333333334 52.25, -112.83333333333334 52.25))",0.2232,0.2385,3.4106,3.4718,0.0030,0.0420,0.0030,0.1030
National Transformation v2_0,ALstpaul,31,21,float32,"POLYGON((-111.41666666666667 53.916666666666664,-111.41666666666667 54.08333333333333,-111.16666666666667 54.08333333333333,-111.16666666666667 53.916666666666664, -111.41666666666667 53.916666666666664))",0.2987,0.3178,3.1681,3.2365,0.0010,0.0590,0.0010,0.2120
National Transformation v2_0,ALstramr,31,21,float32,"POLYGON((-113.5 51.0,-113.5 51.166666666666664,-113.25 51.166666666666664,-113.25 51.0, -113.5 51.0))",0.2017,0.2190,3.4586,3.4987,0.0030,0.1800,0.0020,0.0910
National Transformation v2_0,ALswanhi,41,21,float32,"POLYGON((-115.58333333333334 54.666666666666664,-115.58333333333334 54.83333333333333,-115.25000000000001 54.83333333333333,-115.25000000000001 54.666666666666664, -115.58333333333334 54.666666666666664))",0.1913,0.2131,4.0366,4.0978,0.0000,0.0320,0.0000,0.1080
National Transformation v2_0,ALtaber,31,21,float32,"POLYGON((-112.25 49.75,-112.25 49.916666666666664,-112.0 49.916666666666664,-112.0 49.75, -112.25 49.75))",0.0377,0.1053,3.2094,3.2843,0.0020,0.2820,0.0120,0.2950
National Transformation v2_0,ALtrehil,21,21,float32,"POLYGON((-113.33333333333334 51.583333333333336,-113.33333333333334 51.75,-113.16666666666667 51.75,-113.16666666666667 51.583333333333336, -113.33333333333334 51.583333333333336))",0.2029,0.2139,3.4465,3.4736,0.0040,0.0680,0.0020,0.0360
National Transformation v2_0,ALvegvil,31,21,float32,"POLYGON((-112.16666666666667 53.416666666666664,-112.16666666666667 53.58333333333333,-111.91666666666667 53.58333333333333,-111.91666666666667 53.416666666666664, -112.16666666666667 53.416666666666664))",0.2598,0.2761,3.2474,3.2982,0.0010,0.1270,0.0010,0.1810
National Transformation v2_0,ALvermil,31,21,float32,"POLYGON((-111.0 53.25,-111.0 53.416666666666664,-110.75 53.416666666666664,-110.75 53.25, -111.0 53.25))",0.2677,0.2849,2.9593,3.0080,0.0010,0.0210,0.0010,0.0540
National Transformation v2_0,ALwanwgt,31,21,float32,"POLYGON((-111.0 52.75,-111.0 52.916666666666664,-110.75 52.916666666666664,-110.75 52.75, -111.0 52.75))",0.2460,0.2636,2.9241,2.9736,0.0010,0.0850,0.0010,0.0820
National Transformation v2_0,ALweslok,41,21,float32,"POLYGON((-114.0 54.083333333333336,-114.0 54.25,-113.66666666666667 54.25,-113.66666666666667 54.083333333333336, -114.0 54.083333333333336))",0.2691,0.2827,3.6835,3.7324,0.0010,0.1710,0.0010,0.2960
National Transformation v2_0,ALwetask,31,21,float32,"POLYGON((-113.5 52.833333333333336,-113.5 53.0,-113.25 53.0,-113.25 52.833333333333336, -113.5 52.833333333333336))",0.2187,0.2307,3.5674,3.6109,0.0000,0.0720,0.0000,0.0900
National Transformation v2_0,ALwhitec,41,11,float32,"POLYGON((-115.83333333333334 54.08333333333333,-115.83333333333334 54.166666666666664,-115.50000000000001 54.166666666666664,-115.50000000000001 54.08333333333333, -115.83333333333334 54.08333333333333))",0.2186,0.2685,3.9209,4.0281,0.0100,0.5740,0.0030,0.6610
National Transformation v2_0,BCcambel,21,21,float32,"POLYGON((-125.33333333333334 49.916666666666664,-125.33333333333334 50.08333333333333,-125.16666666666667 50.08333333333333,-125.16666666666667 49.916666666666664, -125.33333333333334 49.916666666666664))",-0.6540,-0.6412,5.0768,5.2188,0.0010,0.1850,0.0020,1.6070
National Transformation v2_0,BCcranbk,21,21,float32,"POLYGON((-115.83333333333334 49.416666666666664,-115.83333333333334 49.58333333333333,-115.66666666666667 49.58333333333333,-115.66666666666667 49.416666666666664, -115.83333333333334 49.416666666666664))",-0.1589,-0.1099,3.7344,3.7984,0.0010,0.4190,0.0010,0.2250
National Transformation v2_0,BCdawson,21,21,float32,"POLYGON((-120.33333333333334 55.666666666666664,-120.33333333333334 55.83333333333333,-120.16666666666667 55.83333333333333,-120.16666666666667 55.666666666666664, -120.33333333333334 55.666666666666664))",-0.1825,-0.1694,5.1290,5.1658,0.0030,0.0170,0.0030,0.0190
National Transformation v2_0,BCelkfrd,21,11,float32,"POLYGON((-115.0 49.99999999999999,-115.0 50.08333333333333,-114.83333333333333 50.08333333333333,-114.83333333333333 49.99999999999999, -115.0 49.99999999999999))",0.0566,0.1476,3.6695,3.7996,0.0020,2.0240,0.0020,0.8440
National Transformation v2_0,BCfield,21,11,float32,"POLYGON((-116.58333333333334 51.33333333333333,-116.58333333333334 51.416666666666664,-116.41666666666667 51.416666666666664,-116.41666666666667 51.33333333333333, -116.58333333333334 51.33333333333333))",-0.0719,-0.0461,3.9561,3.9898,0.0370,0.3780,0.0340,0.7350
National Transformation v2_0,BCgranil,11,11,float32,"POLYGON((-126.25 54.83333333333333,-126.25 54.916666666666664,-126.16666666666667 54.916666666666664,-126.16666666666667 54.83333333333333, -126.25 54.83333333333333))",-0.3594,-0.3505,6.1253,6.1499,0.0010,0.0220,0.0010,0.0260
National Transformation v2_0,BCkamlop,51,21,float32,"POLYGON((-120.5 50.583333333333336,-120.5 50.75,-120.08333333333333 50.75,-120.08333333333333 50.583333333333336, -120.5 50.583333333333336))",-0.4161,-0.3861,4.4599,4.5302,0.0000,0.0960,0.0000,0.0950
National Transformation v2_0,BCkelwna,31,31,float32,"POLYGON((-119.58333333333334 49.83333333333333,-119.58333333333334 50.08333333333333,-119.33333333333334 50.08333333333333,-119.33333333333334 49.83333333333333, -119.58333333333334 49.83333333333333))",-0.4108,-0.3929,4.2541,4.3398,0.0010,0.2350,0.0010,0.4380
National Transformation v2_0,BClogan,11,11,float32,"POLYGON((-120.83333333333334 50.416666666666664,-120.83333333333334 50.5,-120.75000000000001 50.5,-120.75000000000001 50.416666666666664, -120.83333333333334 50.416666666666664))",-0.4381,-0.4283,4.5276,4.5531,0.0180,0.3000,0.0540,0.2480
National Transformation v2_0,BCmacknz,21,21,float32,"POLYGON((-123.16666666666667 55.25,-123.16666666666667 55.416666666666664,-123.0 55.416666666666664,-123.0 55.25, -123.16666666666667 55.25))",-0.2704,-0.2499,5.5304,5.5973,0.0010,0.1940,0.0010,0.5320
National Transformation v2_0,BCnanimo,61,61,float32,"POLYGON((-124.08333333333334 48.75,-124.08333333333334 49.25,-123.58333333333334 49.25,-123.58333333333334 48.75, -124.08333333333334 48.75))",-0.7147,-0.6238,4.7646,4.9259,0.0000,0.9380,0.0010,1.2770
National Transformation v2_0,BCnelson,11,21,float32,"POLYGON((-117.33333333333334 49.416666666666664,-117.33333333333334 49.58333333333333,-117.25000000000001 49.58333333333333,-117.25000000000001 49.416666666666664, -117.33333333333334 49.416666666666664))",-0.2733,-0.2643,3.9901,4.0238,0.0020,0.0190,0.0020,0.0120
National Transformation v2_0,BCparkvl,21,11,float32,"POLYGON((-124.41666666666667 49.24999999999999,-124.41666666666667 49.33333333333333,-124.25 49.33333333333333,-124.25 49.24999999999999, -124.41666666666667 49.24999999999999))",-0.7828,-0.6525,4.9333,5.2069,0.0020,2.6850,0.0010,2.9120
