nodeLatitude,nodeLongitude,velocityEast,velocityNorth,velocityUp
60.0,-148.5,0.0227,-0.02555,0.0
60.25,-148.5,0.01927,-0.02518,0.0
60.5,-148.5,0.0158,-0.02388,0.0
60.75,-148.5,0.0109,-0.02181,0.0
61.0,-148.5,0.00315,-0.02191,0.0
61.25,-148.5,-0.0034,-0.01937,0.0
61.5,-148.5,-0.00919,-0.01707,0.0
61.75,-148.5,-0.01121,-0.01497,0.0
62.0,-148.5,-0.01526,-0.01652,0.0
62.25,-148.5,-0.01815,-0.01592,0.0
62.5,-148.5,-0.02048,-0.0148,0.0
62.75,-148.5,-0.02268,-0.01372,0.0
63.0,-148.5,-0.02502,-0.01289,0.0
56.5,-148.25,0.03817,-0.03177,0.0
56.75,-148.25,0.03578,-0.03117,0.0
57.0,-148.25,0.03365,-0.03061,0.0
57.25,-148.25,0.03246,-0.02984,0.0
57.5,-148.25,0.03147,-0.0291,0.0
57.75,-148.25,0.03051,-0.02841,0.0
58.0,-148.25,0.02941,-0.02773,0.0
58.25,-148.25,0.02804,-0.027,0.0
58.5,-148.25,0.0265,-0.02626,0.0
58.75,-148.25,0.02498,-0.02557,0.0
59.0,-148.25,0.02367,-0.02497,0.0
59.25,-148.25,0.02295,-0.02458,0.0
59.5,-148.25,0.02359,-0.02477,0.0
59.75,-148.25,0.02653,-0.0262,0.0
60.0,-148.25,0.02627,-0.02712,0.0
60.25,-148.25,0.02278,-0.02661,0.0
60.5,-148.25,0.02039,-0.02594,0.0
60.75,-148.25,0.01557,-0.02411,0.0
61.0,-148.25,0.00658,-0.02384,0.0
61.25,-148.25,1e-05,-0.02027,0.0
61.5,-148.25,-0.00636,-0.01782,0.0
61.75,-148.25,-0.00869,-0.01722,0.0
62.0,-148.25,-0.01365,-0.01754,0.0
62.25,-148.25,-0.01718,-0.01686,0.0
62.5,-148.25,-0.01989,-0.01532,0.0
62.75,-148.25,-0.0223,-0.01409,0.0
63.0,-148.25,-0.02472,-0.01322,0.0
56.5,-148.0,0.03819,-0.03174,0.0
56.75,-148.0,0.03579,-0.03112,0.0
57.0,-148.0,0.03326,-0.03066,0.0
57.25,-148.0,0.03256,-0.02984,0.0
57.5,-148.0,0.03169,-0.02916,0.0
57.75,-148.0,0.03086,-0.02854,0.0
58.0,-148.0,0.02984,-0.0279,0.0
58.25,-148.0,0.02846,-0.02718,0.0
58.5,-148.0,0.02687,-0.02645,0.0
58.75,-148.0,0.02531,-0.02577,0.0
59.0,-148.0,0.02397,-0.02522,0.0
59.25,-148.0,0.02331,-0.02493,0.0
59.5,-148.0,0.02433,-0.0253,0.0
59.75,-148.0,0.03013,-0.02762,0.0
60.0,-148.0,0.02955,-0.02853,0.0
60.25,-148.0,0.02483,-0.02756,0.0
60.5,-148.0,0.02312,-0.02747,0.0
60.75,-148.0,0.02004,-0.02699,0.0
61.0,-148.0,0.01007,-0.02605,0.0
61.25,-148.0,0.00337,-0.02072,0.0
61.5,-148.0,-0.00416,-0.01844,0.0
61.75,-148.0,-0.00826,-0.01525,0.0
62.0,-148.0,-0.01252,-0.01881,0.0
62.25,-148.0,-0.01634,-0.01781,0.0
62.5,-148.0,-0.01936,-0.01575,0.0
62.75,-148.0,-0.02193,-0.01439,0.0
63.0,-148.0,-0.0244,-0.01349,0.0
56.5,-147.75,0.0382,-0.03168,0.0
56.75,-147.75,0.0358,-0.03106,0.0
57.0,-147.75,0.0337,-0.0305,0.0
57.25,-147.75,0.03267,-0.02983,0.0
57.5,-147.75,0.03192,-0.02921,0.0
57.75,-147.75,0.03123,-0.02866,0.0
58.0,-147.75,0.03033,-0.02808,0.0
58.25,-147.75,0.0289,-0.02736,0.0
58.5,-147.75,0.02724,-0.02662,0.0
58.75,-147.75,0.0256,-0.02596,0.0
59.0,-147.75,0.02417,-0.02544,0.0
59.25,-147.75,0.02342,-0.02519,0.0
59.5,-147.75,0.02445,-0.0256,0.0
59.75,-147.75,0.03014,-0.02754,0.0
60.0,-147.75,0.02926,-0.02816,0.0
60.25,-147.75,0.02467,-0.02765,0.0
60.5,-147.75,0.02239,-0.02734,0.0
60.75,-147.75,0.01946,-0.02687,0.0
61.0,-147.75,0.01201,-0.02586,0.0
61.25,-147.75,0.00748,-0.02195,0.0
61.5,-147.75,-0.0027,-0.019,0.0
61.75,-147.75,-0.00765,-0.01715,0.0
62.0,-147.75,-0.01164,-0.02096,0.0
62.25,-147.75,-0.01567,-0.01855,0.0
62.5,-147.75,-0.0189,-0.01603,0.0
62.75,-147.75,-0.02158,-0.0146,0.0
63.0,-147.75,-0.02407,-0.0137,0.0
56.5,-147.5,0.0382,-0.03161,0.0
56.75,-147.5,0.0358,-0.03098,0.0
57.0,-147.5,0.03379,-0.03039,0.0
57.25,-147.5,0.03277,-0.0298,0.0
57.5,-147.5,0.03213,-0.02925,0.0
57.75,-147.5,0.03161,-0.02877,0.0
58.0,-147.5,0.0309,-0.02829,0.0
58.25,-147.5,0.02935,-0.02753,0.0
58.5,-147.5,0.0276,-0.02678,0.0
58.75,-147.5,0.02587,-0.02613,0.0
59.0,-147.5,0.02428,-0.02561,0.0
59.25,-147.5,0.02327,-0.02536,0.0
59.5,-147.5,0.02392,-0.0257,0.0
59.75,-147.5,0.02758,-0.02684,0.0
60.0,-147.5,0.02722,-0.02749,0.0
60.25,-147.5,0.02344,-0.02735,0.0
60.5,-147.5,0.02191,-0.02852,0.0
60.75,-147.5,0.01922,-0.02652,0.0
61.0,-147.5,0.01124,-0.02519,0.0
61.25,-147.5,0.00527,-0.02195,0.0
61.5,-147.5,-0.00199,-0.0194,0.0
61.75,-147.5,-0.00711,-0.01815,0.0
62.0,-147.5,-0.01117,-0.02072,0.0
62.25,-147.5,-0.0152,-0.01859,0.0
62.5,-147.5,-0.01854,-0.01614,0.0
62.75,-147.5,-0.02125,-0.01473,0.0
63.0,-147.5,-0.02375,-0.01383,0.0
56.5,-147.25,0.03819,-0.03153,0.0
56.75,-147.25,0.03578,-0.0309,0.0
57.0,-147.25,0.03368,-0.0303,0.0
57.25,-147.25,0.03284,-0.02976,0.0
57.5,-147.25,0.03232,-0.02927,0.0
57.75,-147.25,0.03196,-0.02887,0.0
58.0,-147.25,0.03166,-0.02856,0.0
58.25,-147.25,0.0298,-0.02769,0.0
58.5,-147.25,0.02795,-0.02692,0.0
58.75,-147.25,0.02612,-0.02627,0.0
59.0,-147.25,0.0243,-0.02574,0.0
59.25,-147.25,0.02286,-0.02545,0.0
59.5,-147.25,0.02288,-0.02564,0.0
59.75,-147.25,0.02479,-0.02637,0.0
60.0,-147.25,0.02446,-0.02692,0.0
60.25,-147.25,0.02155,-0.0267,0.0
60.5,-147.25,0.01995,-0.02797,0.0
60.75,-147.25,0.01783,-0.0258,0.0
61.0,-147.25,0.01018,-0.02473,0.0
61.25,-147.25,0.00394,-0.0219,0.0
61.5,-147.25,-0.0018,-0.01962,0.0
61.75,-147.25,-0.00673,-0.0185,0.0
62.0,-147.25,-0.01094,-0.01931,0.0
62.25,-147.25,-0.01491,-0.01805,0.0
62.5,-147.25,-0.01828,-0.01608,0.0
62.75,-147.25,-0.02096,-0.01476,0.0
63.0,-147.25,-0.02343,-0.01389,0.0
56.5,-147.0,0.03817,-0.03144,0.0
56.75,-147.0,0.03576,-0.0308,0.0
57.0,-147.0,0.03313,-0.03018,0.0
57.25,-147.0,0.0329,-0.02971,0.0
57.5,-147.0,0.03248,-0.02927,0.0
57.75,-147.0,0.03225,-0.02892,0.0
58.0,-147.0,0.03311,-0.02912,0.0
58.25,-147.0,0.03019,-0.02781,0.0
58.5,-147.0,0.0283,-0.02704,0.0
58.75,-147.0,0.02638,-0.02639,0.0
59.0,-147.0,0.0243,-0.02585,0.0
59.25,-147.0,0.02225,-0.02546,0.0
59.5,-147.0,0.02145,-0.02548,0.0
59.75,-147.0,0.02235,-0.02597,0.0
60.0,-147.0,0.02135,-0.02626,0.0
60.25,-147.0,0.01865,-0.02536,0.0
60.5,-147.0,0.0166,-0.02605,0.0
60.75,-147.0,0.01491,-0.0245,0.0
61.0,-147.0,0.00866,-0.02388,0.0
61.25,-147.0,0.00271,-0.02166,0.0
61.5,-147.0,-0.00187,-0.01963,0.0
61.75,-147.0,-0.00648,-0.01849,0.0
62.0,-147.0,-0.01074,-0.01837,0.0
62.25,-147.0,-0.01476,-0.0174,0.0
62.5,-147.0,-0.01814,-0.01589,0.0
62.75,-147.0,-0.0207,-0.01471,0.0
63.0,-147.0,-0.02309,-0.01388,0.0
56.5,-146.75,0.03815,-0.03134,0.0
56.75,-146.75,0.03575,-0.03071,0.0
57.0,-146.75,0.03368,-0.03012,0.0
57.25,-146.75,0.03296,-0.02964,0.0
57.5,-146.75,0.03261,-0.02924,0.0
57.75,-146.75,0.03244,-0.02893,0.0
58.0,-146.75,0.03231,-0.0287,0.0
58.25,-146.75,0.03049,-0.02787,0.0
58.5,-146.75,0.02864,-0.02714,0.0
58.75,-146.75,0.02667,-0.0265,0.0
59.0,-146.75,0.02434,-0.02593,0.0
59.25,-146.75,0.02149,-0.02541,0.0
59.5,-146.75,0.01965,-0.02522,0.0
59.75,-146.75,0.02029,-0.02562,0.0
60.0,-146.75,0.01841,-0.02561,0.0
60.25,-146.75,0.01002,-0.02425,0.0
60.5,-146.75,0.01349,-0.02461,0.0
60.75,-146.75,0.01027,-0.02373,0.0
61.0,-146.75,0.0057,-0.02379,0.0
61.25,-146.75,0.00146,-0.02108,0.0
61.5,-146.75,-0.002,-0.01949,0.0
61.75,-146.75,-0.00634,-0.01828,0.0
62.0,-146.75,-0.0106,-0.01767,0.0
62.25,-146.75,-0.01473,-0.01679,0.0
62.5,-146.75,-0.01811,-0.01562,0.0
62.75,-146.75,-0.02047,-0.01461,0.0
63.0,-146.75,-0.02274,-0.01382,0.0
56.5,-146.5,0.03813,-0.03124,0.0
56.75,-146.5,0.03573,-0.0306,0.0
57.0,-146.5,0.03378,-0.03002,0.0
57.25,-146.5,0.03301,-0.02957,0.0
57.5,-146.5,0.0327,-0.0292,0.0
57.75,-146.5,0.03256,-0.0289,0.0
58.0,-146.5,0.03221,-0.02857,0.0
58.25,-146.5,0.03074,-0.0279,0.0
58.5,-146.5,0.02899,-0.02721,0.0
58.75,-146.5,0.02703,-0.0266,0.0
59.0,-146.5,0.0245,-0.02601,0.0
59.25,-146.5,0.02081,-0.02536,0.0
59.5,-146.5,0.01731,-0.02485,0.0
59.75,-146.5,0.0187,-0.02534,0.0
60.0,-146.5,0.01646,-0.02515,0.0
60.25,-146.5,0.00953,-0.02401,0.0
60.5,-146.5,0.01107,-0.02347,0.0
60.75,-146.5,0.00914,-0.02263,0.0
61.0,-146.5,0.00471,-0.02286,0.0
61.25,-146.5,0.0005,-0.01993,0.0
61.5,-146.5,-0.00207,-0.01927,0.0
61.75,-146.5,-0.00626,-0.01795,0.0
62.0,-146.5,-0.01049,-0.01704,0.0
62.25,-146.5,-0.0148,-0.01622,0.0
62.5,-146.5,-0.01823,-0.01531,0.0
62.75,-146.5,-0.02024,-0.01447,0.0
63.0,-146.5,-0.02232,-0.01373,0.0
56.5,-146.25,0.0381,-0.03114,0.0
56.75,-146.25,0.0357,-0.0305,0.0
57.0,-146.25,0.03363,-0.0299,0.0
57.25,-146.25,0.03302,-0.02949,0.0
57.5,-146.25,0.03277,-0.02914,0.0
57.75,-146.25,0.03265,-0.02884,0.0
58.0,-146.25,0.03239,-0.02855,0.0
58.25,-146.25,0.03098,-0.02791,0.0
58.5,-146.25,0.02936,-0.02727,0.0
58.75,-146.25,0.02749,-0.02669,0.0
59.0,-146.25,0.02486,-0.02611,0.0
59.25,-146.25,0.02073,-0.0254,0.0
59.5,-146.25,0.0162,-0.0247,0.0
59.75,-146.25,0.01766,-0.02517,0.0
60.0,-146.25,0.01547,-0.02488,0.0
60.25,-146.25,0.01146,-0.02407,0.0
60.5,-146.25,0.01035,-0.02293,0.0
60.75,-146.25,0.00965,-0.02157,0.0
61.0,-146.25,0.00561,-0.02207,0.0
61.25,-146.25,0.00075,-0.0194,0.0
61.5,-146.25,-0.00199,-0.01906,0.0
61.75,-146.25,-0.00624,-0.01754,0.0
62.0,-146.25,-0.01039,-0.01643,0.0
62.25,-146.25,-0.01497,-0.01568,0.0
62.5,-146.25,-0.01856,-0.01498,0.0
62.75,-146.25,-0.02,-0.01432,0.0
63.0,-146.25,-0.02182,-0.01361,0.0
56.5,-146.0,0.03807,-0.03103,0.0
56.75,-146.0,0.03566,-0.03039,0.0
57.0,-146.0,0.03299,-0.02971,0.0
57.25,-146.0,0.03303,-0.0294,0.0
57.5,-146.0,0.03281,-0.02907,0.0
57.75,-146.0,0.03271,-0.02878,0.0
58.0,-146.0,0.03297,-0.02864,0.0
58.25,-146.0,0.0312,-0.02791,0.0
58.5,-146.0,0.02975,-0.02732,0.0
58.75,-146.0,0.02805,-0.02678,0.0
59.0,-146.0,0.02549,-0.02622,0.0
59.25,-146.0,0.02144,-0.02556,0.0
59.5,-146.0,0.01775,-0.02505,0.0
59.75,-146.0,0.01713,-0.0251,0.0
60.0,-146.0,0.01502,-0.02474,0.0
60.25,-146.0,0.01236,-0.02406,0.0
60.5,-146.0,0.01187,-0.02322,0.0
60.75,-146.0,0.0104,-0.02151,0.0
61.0,-146.0,0.00733,-0.0224,0.0
61.25,-146.0,0.00248,-0.02037,0.0
61.5,-146.0,-0.00179,-0.01891,0.0
61.75,-146.0,-0.00627,-0.01707,0.0
62.0,-146.0,-0.01034,-0.01578,0.0
62.25,-146.0,-0.01527,-0.01515,0.0
62.5,-146.0,-0.01928,-0.01464,0.0
62.75,-146.0,-0.01965,-0.01418,0.0
63.0,-146.0,-0.02116,-0.01347,0.0
56.5,-145.75,0.03804,-0.03092,0.0
56.75,-145.75,0.03564,-0.03028,0.0
57.0,-145.75,0.03359,-0.02969,0.0
57.25,-145.75,0.03304,-0.0293,0.0
57.5,-145.75,0.03283,-0.02898,0.0
57.75,-145.75,0.03273,-0.0287,0.0
58.0,-145.75,0.03254,-0.02842,0.0
58.25,-145.75,0.0314,-0.02788,0.0
58.5,-145.75,0.03016,-0.02736,0.0
58.75,-145.75,0.02872,-0.02687,0.0
59.0,-145.75,0.02638,-0.02636,0.0
59.25,-145.75,0.02246,-0.02577,0.0
59.5,-145.75,0.01887,-0.02532,0.0
59.75,-145.75,0.01693,-0.02511,0.0
60.0,-145.75,0.01479,-0.0247,0.0
60.25,-145.75,0.01294,-0.0241,0.0
60.5,-145.75,0.01373,-0.02383,0.0
60.75,-145.75,0.01155,-0.02301,0.0
61.0,-145.75,0.00929,-0.02339,0.0
61.25,-145.75,0.00403,-0.02136,0.0
61.5,-145.75,-0.00158,-0.01879,0.0
61.75,-145.75,-0.00639,-0.01651,0.0
62.0,-145.75,-0.01055,-0.01508,0.0
62.25,-145.75,-0.0157,-0.01465,0.0
62.5,-145.75,-0.02104,-0.01423,0.0
62.75,-145.75,-0.01903,-0.01412,0.0
63.0,-145.75,-0.02021,-0.01328,0.0
56.5,-145.5,0.03801,-0.03081,0.0
56.75,-145.5,0.03562,-0.03017,0.0
57.0,-145.5,0.0337,-0.0296,0.0
57.25,-145.5,0.03304,-0.02921,0.0
57.5,-145.5,0.03284,-0.02889,0.0
57.75,-145.5,0.03274,-0.0286,0.0
58.0,-145.5,0.03247,-0.0283,0.0
58.25,-145.5,0.03159,-0.02785,0.0
58.5,-145.5,0.03057,-0.02739,0.0
58.75,-145.5,0.02946,-0.02695,0.0
59.0,-145.5,0.02758,-0.02652,0.0
59.25,-145.5,0.02352,-0.02598,0.0
